state,action,next_state,reward,done
"[-0.5264635467529297, 0.0300346040725708, -0.5808318328857421, -0.76, 0.01, -0.56, -0.08852624893188477, 0.9924286007881165, 2.3353645324707033, 0.200346040725708, -0.20831832885742188, 0.23531814575195312]","[1.0, -0.4205688536167145]","[-0.5596328735351562, 0.029999990463256836, -0.5922050857543946, -0.76, 0.009956717491149902, -0.5599999237060547, -0.46806764602661133, 0.8782097101211548, 2.0036712646484376, 0.20043272972106935, -0.3220516204833984, 0.20392620086669921]",0.5,False
"[-0.5861191940307617, 0.029999992847442626, -0.6012870025634766, -0.76, 0.009951180219650269, -0.5599999237060547, -0.530769407749176, 0.8401519060134888, 1.7388080596923827, 0.2004881262779236, -0.41287078857421877, 0.17983634948730468]","[1.0, -0.4264557957649231]","[-0.6379340744018555, 0.029999992847442626, -0.6339715576171875, -0.76, 0.009948975443840026, -0.5599999237060547, -0.9265424013137817, 0.3495224416255951, 1.2206592559814453, 0.200510174036026, -0.7397163391113282, 0.14413166046142578]",0.19904488325119019,False
"[-0.6379340744018555, 0.029999992847442626, -0.6339715576171875, -0.76, 0.009948975443840026, -0.5599999237060547, -0.9265424013137817, 0.3495224416255951, 1.2206592559814453, 0.200510174036026, -0.7397163391113282, 0.14413166046142578]","[1.0, -0.04591922089457512]","[-0.6746720886230468, 0.029999992847442626, -0.6648613739013672, -0.76, 0.009948975443840026, -0.5599999237060547, -0.9890145063400269, -0.018066585063934326, 0.8532791137695312, 0.200510174036026, -1.048614501953125, 0.13667047500610352]",-0.7900146245956421,False
"[-0.6746720886230468, 0.029999992847442626, -0.6648613739013672, -0.76, 0.009948975443840026, -0.5599999237060547, -0.9890145063400269, -0.018066585063934326, 0.8532791137695312, 0.200510174036026, -1.048614501953125, 0.13667047500610352]","[1.0, -0.32862886786460876]","[-0.7012407684326172, 0.029999992847442626, -0.7014828491210937, -0.76, 0.009948975443840026, -0.5599999237060547, -0.8370283842086792, -0.5315467119216919, 0.5875923156738281, 0.200510174036026, -1.4148292541503906, 0.15450601577758788]",-3.5,False
"[-0.7012407684326172, 0.029999992847442626, -0.7014828491210937, -0.76, 0.009948975443840026, -0.5599999237060547, -0.8370283842086792, -0.5315467119216919, 0.5875923156738281, 0.200510174036026, -1.4148292541503906, 0.15450601577758788]","[1.0, 0.035470761358737946]","[-0.7282205200195313, 0.029999992847442626, -0.7379131317138672, -0.76, 0.009948975443840026, -0.5599999237060547, -0.7239645719528198, -0.6809671521186829, 0.3177947998046875, 0.200510174036026, -1.779132080078125, 0.18183807373046876]",-3.5,False
"[-0.7282205200195313, 0.029999992847442626, -0.7379131317138672, -0.76, 0.009948975443840026, -0.5599999237060547, -0.7239645719528198, -0.6809671521186829, 0.3177947998046875, 0.200510174036026, -1.779132080078125, 0.18183807373046876]","[1.0, -0.12638673186302185]","[-0.7521211242675782, 0.029999992847442626, -0.7771996307373047, -0.76, 0.009948975443840026, -0.5599999237060547, -0.5425617098808289, -0.8349775671958923, 0.07878875732421875, 0.200510174036026, -2.1719970703125, 0.2182655143737793]",-3.5,False
"[-0.7521211242675782, 0.029999992847442626, -0.7771996307373047, -0.76, 0.009948975443840026, -0.5599999237060547, -0.5425617098808289, -0.8349775671958923, 0.07878875732421875, 0.200510174036026, -2.1719970703125, 0.2182655143737793]","[1.0, 0.28613486886024475]","[-0.782991943359375, 0.029999992847442626, -0.8103050994873047, -0.76, 0.009948975443840026, -0.5599999237060547, -0.6214398145675659, -0.7794162034988403, -0.22991943359375, 0.200510174036026, -2.5030517578125, 0.2521573829650879]",-3.5,False
"[-0.782991943359375, 0.029999992847442626, -0.8103050994873047, -0.76, 0.009948975443840026, -0.5599999237060547, -0.6214398145675659, -0.7794162034988403, -0.22991943359375, 0.200510174036026, -2.5030517578125, 0.2521573829650879]","[0.0, 0.5624063014984131]","[-0.7856999969482422, 0.029999992847442626, -0.8131278228759765, -0.76, 0.009948975443840026, -0.5599999237060547, -0.8908054232597351, -0.4475415050983429, -0.2569999694824219, 0.200510174036026, -2.5312789916992187, 0.25521806716918943]",-2.701151430606842,False
"[-0.7856999969482422, 0.029999992847442626, -0.8131278228759765, -0.76, 0.009948975443840026, -0.5599999237060547, -0.8908054232597351, -0.4475415050983429, -0.2569999694824219, 0.200510174036026, -2.5312789916992187, 0.25521806716918943]","[0.0, -0.2764824330806732]","[-0.7856999969482422, 0.029999992847442626, -0.8131278228759765, -0.76, 0.009948975443840026, -0.5599999237060547, -0.7734643816947937, -0.6289519667625427, -0.2569999694824219, 0.200510174036026, -2.5312789916992187, 0.25521806716918943]",-2.5,False
"[-0.7856999969482422, 0.029999992847442626, -0.8131278228759765, -0.76, 0.009948975443840026, -0.5599999237060547, -0.7734643816947937, -0.6289519667625427, -0.2569999694824219, 0.200510174036026, -2.5312789916992187, 0.25521806716918943]","[1.0, -0.6617188453674316]","[-0.8045833587646485, 0.029999992847442626, -0.8503431701660156, -0.76, 0.009948975443840026, -0.5599999237060547, -0.31117138266563416, -0.9479106664657593, -0.4458335876464844, 0.200510174036026, -2.9034324645996095, 0.294429817199707]",-3.5,False
"[-0.8045833587646485, 0.029999992847442626, -0.8503431701660156, -0.76, 0.009948975443840026, -0.5599999237060547, -0.31117138266563416, -0.9479106664657593, -0.4458335876464844, 0.200510174036026, -2.9034324645996095, 0.294429817199707]","[1.0, 0.12240369617938995]","[-0.8289846038818359, 0.029999992847442626, -0.8893235015869141, -0.76, 0.009948975443840026, -0.5599999237060547, -0.35090184211730957, -0.9345209002494812, -0.6898460388183594, 0.200510174036026, -3.2932357788085938, 0.3370681381225586]",-3.5,False
"[-0.8289846038818359, 0.029999992847442626, -0.8893235015869141, -0.76, 0.009948975443840026, -0.5599999237060547, -0.35090184211730957, -0.9345209002494812, -0.6898460388183594, 0.200510174036026, -3.2932357788085938, 0.3370681381225586]","[1.0, 0.020034393295645714]","[-0.853843765258789, 0.029999992847442626, -0.9272333526611328, -0.76, 0.009948975443840026, -0.5599999237060547, -0.3247557282447815, -0.9443215727806091, -0.9384376525878906, 0.200510174036026, -3.6723342895507813, 0.37956432342529295]",-3.5,False
"[-0.853843765258789, 0.029999992847442626, -0.9272333526611328, -0.76, 0.009948975443840026, -0.5599999237060547, -0.3247557282447815, -0.9443215727806091, -0.9384376525878906, 0.200510174036026, -3.6723342895507813, 0.37956432342529295]","[1.0, 0.16073015332221985]","[-0.883436050415039, 0.029999992847442626, -0.962420654296875, -0.76, 0.009948975443840026, -0.5599999237060547, -0.3981907367706299, -0.9160677194595337, -1.2343605041503907, 0.200510174036026, -4.024207305908203, 0.4214035415649414]",-3.5,False
"[-0.883436050415039, 0.029999992847442626, -0.962420654296875, -0.76, 0.009948975443840026, -0.5599999237060547, -0.3981907367706299, -0.9160677194595337, -1.2343605041503907, 0.200510174036026, -4.024207305908203, 0.4214035415649414]","[1.0, -0.14843012392520905]","[-0.9093529510498047, 0.029999992847442626, -1.0004016876220703, -0.76, 0.009948975443840026, -0.5599999237060547, -0.2608221769332886, -0.964425265789032, -1.4935295104980468, 0.200510174036026, -4.404017639160156, 0.4654697036743164]",-3.5,False
"[-0.9093529510498047, 0.029999992847442626, -1.0004016876220703, -0.76, 0.009948975443840026, -0.5599999237060547, -0.2608221769332886, -0.964425265789032, -1.4935295104980468, 0.200510174036026, -4.404017639160156, 0.4654697036743164]","[1.0, 0.11064703017473221]","[-0.9392588806152343, 0.029999992847442626, -1.0379341125488282, -0.76, 0.009948975443840026, -0.5599999237060547, -0.3135197162628174, -0.9487700462341309, -1.7925888061523438, 0.200510174036026, -4.7793418884277346, 0.5108393859863282]",-3.5,False
"[-0.9392588806152343, 0.029999992847442626, -1.0379341125488282, -0.76, 0.009948975443840026, -0.5599999237060547, -0.3135197162628174, -0.9487700462341309, -1.7925888061523438, 0.200510174036026, -4.7793418884277346, 0.5108393859863282]","[1.0, 0.04831220209598541]","[-0.9689281463623047, 0.029999992847442626, -1.0722085571289062, -0.76, 0.009948975443840026, -0.5599999237060547, -0.3225380778312683, -0.9458631277084351, -2.089281463623047, 0.200510174036026, -5.1220863342285154, 0.5535437774658203]",-3.5,False
